['17.9190', 'DATA', 'Keypress:', '1', '']
['22.2510', 'DATA', 'Keypress:', 'space', '']
['24.0402', 'DATA', 'Keypress:', 'w', '']
['25.6723', 'DATA', 'Keypress:', 'm', '']
['27.8002', 'DATA', 'Keypress:', 'w', '']
['29.6563', 'DATA', 'Keypress:', 'm', '']
['31.6882', 'DATA', 'Keypress:', 'w', '']
['33.6243', 'DATA', 'Keypress:', 'm', '']
['35.6322', 'DATA', 'Keypress:', 'w', '']
['37.6562', 'DATA', 'Keypress:', 'm', '']
['39.6163', 'DATA', 'Keypress:', 'w', '']
['41.8003', 'DATA', 'Keypress:', 'm', '']
['43.8083', 'DATA', 'Keypress:', 'm', '']
['45.7284', 'DATA', 'Keypress:', 'w', '']
['47.7683', 'DATA', 'Keypress:', 'w', '']
['49.7364', 'DATA', 'Keypress:', 'w', '']
['51.8061', 'DATA', 'Keypress:', 'm', '']
['53.7446', 'DATA', 'Keypress:', 'w', '']
['55.7123', 'DATA', 'Keypress:', 'm', '']
['57.6483', 'DATA', 'Keypress:', 'w', '']
['59.6883', 'DATA', 'Keypress:', 'w', '']
['61.7603', 'DATA', 'Keypress:', 'm', '']
['63.7282', 'DATA', 'Keypress:', 'm', '']
['65.7363', 'DATA', 'Keypress:', 'm', '']
['67.6802', 'DATA', 'Keypress:', 'm', '']
['69.7122', 'DATA', 'Keypress:', 'w', '']
['71.7045', 'DATA', 'Keypress:', 'm', '']
['73.7043', 'DATA', 'Keypress:', 'w', '']
['75.6673', 'DATA', 'Keypress:', 'm', '']
['77.6833', 'DATA', 'Keypress:', 'w', '']
['79.7443', 'DATA', 'Keypress:', 'm', '']
['81.7728', 'DATA', 'Keypress:', 'm', '']
['83.8047', 'DATA', 'Keypress:', 'm', '']
['85.8003', 'DATA', 'Keypress:', 'w', '']
['87.7283', 'DATA', 'Keypress:', 'm', '']
['89.8295', 'DATA', 'Keypress:', 'w', '']
['91.7193', 'DATA', 'Keypress:', 'm', '']
['93.7844', 'DATA', 'Keypress:', 'w', '']
