13.4377 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15EABEB0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.4378 	EXP 	window1: recordFrameIntervals = False
13.6035 	EXP 	window1: recordFrameIntervals = True
13.7871 	EXP 	window1: recordFrameIntervals = False
13.8751 	WARNING 	psychopy.sound.backend_pyo.init could not find microphone hardware; recording not available
14.6536 	EXP 	Set  sound=C
14.6598 	EXP 	Set  sound=stim/audio_40Hz_L.wav
14.6655 	EXP 	Set  sound=stim/audio_55Hz_L.wav
14.6705 	EXP 	Set  sound=stim/audio_40Hz_R.wav
14.6760 	EXP 	Set  sound=stim/audio_55Hz_R.wav
14.6761 	EXP 	Sound  set volume 1.000
14.6761 	EXP 	Sound  set volume 1.000
14.6761 	EXP 	Sound  set volume 1.000
14.6761 	EXP 	Sound  set volume 1.000
14.8514 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
15.0085 	EXP 	Created select_eeg_system = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='select_eeg_system', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
15.1207 	EXP 	Created instr_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instr_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
15.3442 	EXP 	Created unnamed PatchStim = PatchStim(autoDraw=False, autoLog=True, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, interpolate=False, mask='circle', maskParams=None, name='unnamed PatchStim', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.1,  0.1]), tex=None, texRes=128, units=u'norm', win=Window(...))
15.3653 	EXP 	Created end_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='end_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'This was the end - Thank you!', units=u'norm', win=Window(...), wrapWidth=1)
15.3677 	EXP 	window1: blendMode = 'avg'
15.3956 	EXP 	select_eeg_system: autoDraw = True
15.3964 	EXP 	window1: blendMode = 'avg'
15.4202 	EXP 	window1: blendMode = 'avg'
15.4367 	EXP 	window1: blendMode = 'avg'
15.4535 	EXP 	window1: blendMode = 'avg'
15.4703 	EXP 	window1: blendMode = 'avg'
15.4867 	EXP 	window1: blendMode = 'avg'
15.5034 	EXP 	window1: blendMode = 'avg'
15.5202 	EXP 	window1: blendMode = 'avg'
15.5367 	EXP 	window1: blendMode = 'avg'
15.5534 	EXP 	window1: blendMode = 'avg'
15.5702 	EXP 	window1: blendMode = 'avg'
15.5867 	EXP 	window1: blendMode = 'avg'
15.6036 	EXP 	window1: blendMode = 'avg'
15.6201 	EXP 	window1: blendMode = 'avg'
15.6366 	EXP 	window1: blendMode = 'avg'
15.6533 	EXP 	window1: blendMode = 'avg'
15.6701 	EXP 	window1: blendMode = 'avg'
15.6868 	EXP 	window1: blendMode = 'avg'
15.7033 	EXP 	window1: blendMode = 'avg'
15.7199 	EXP 	window1: blendMode = 'avg'
15.7366 	EXP 	window1: blendMode = 'avg'
15.7533 	EXP 	window1: blendMode = 'avg'
15.7700 	EXP 	window1: blendMode = 'avg'
15.7866 	EXP 	window1: blendMode = 'avg'
15.8033 	EXP 	window1: blendMode = 'avg'
15.8199 	EXP 	window1: blendMode = 'avg'
15.8366 	EXP 	window1: blendMode = 'avg'
15.8532 	EXP 	window1: blendMode = 'avg'
15.8700 	EXP 	window1: blendMode = 'avg'
15.8869 	EXP 	window1: blendMode = 'avg'
15.9033 	EXP 	window1: blendMode = 'avg'
15.9199 	EXP 	window1: blendMode = 'avg'
15.9366 	EXP 	window1: blendMode = 'avg'
15.9533 	EXP 	window1: blendMode = 'avg'
15.9698 	EXP 	window1: blendMode = 'avg'
15.9865 	EXP 	window1: blendMode = 'avg'
16.0033 	EXP 	window1: blendMode = 'avg'
16.0198 	EXP 	window1: blendMode = 'avg'
16.0366 	EXP 	window1: blendMode = 'avg'
16.0532 	EXP 	window1: blendMode = 'avg'
16.0698 	EXP 	window1: blendMode = 'avg'
16.0865 	EXP 	window1: blendMode = 'avg'
16.1032 	EXP 	window1: blendMode = 'avg'
