21.0505 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x175A1030>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.0506 	EXP 	window1: recordFrameIntervals = False
21.2166 	EXP 	window1: recordFrameIntervals = True
21.4002 	EXP 	window1: recordFrameIntervals = False
21.6839 	WARNING 	psychopy.sound.backend_pyo.init could not find microphone hardware; recording not available
22.6488 	EXP 	Set  sound=C
22.7385 	EXP 	Set  sound=stim/audio_40Hz_L.wav
22.7662 	EXP 	Set  sound=stim/audio_55Hz_L.wav
22.7862 	EXP 	Set  sound=stim/audio_40Hz_R.wav
22.8087 	EXP 	Set  sound=stim/audio_55Hz_R.wav
22.8087 	EXP 	Sound  set volume 1.000
22.8088 	EXP 	Sound  set volume 1.000
22.8088 	EXP 	Sound  set volume 1.000
22.8088 	EXP 	Sound  set volume 1.000
23.4436 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
